timestamp,rule_id,rule_level,rule_description,rule_groups,agent_name,srcip,dstip,dstport,location,risk_score
2025-12-16T22:04:54.885+0000,19014,9,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd PermitRootLogin is disabled.: Status changed from 'not applicable' to failed,sca,Ubuntu,,,,sca,60
2025-12-16T22:04:54.896+0000,19014,9,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd PermitUserEnvironment is disabled.: Status changed from 'not applicable' to failed,sca,Ubuntu,,,,sca,60
2025-12-16T22:04:54.908+0000,19014,9,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd UsePAM is enabled.: Status changed from 'not applicable' to failed,sca,Ubuntu,,,,sca,60
2025-12-16T22:04:55.819+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T22:05:03.389+0000,19004,7,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (45),sca,Ubuntu,,,,sca,20
2025-12-16T22:22:45.083+0000,533,7,Listened ports status (netstat) changed (new port opened or closed).,ossec,Ubuntu,,,,netstat listening ports,20
2025-12-16T22:22:50.796+0000,502,3,Wazuh server started.,ossec,Ubuntu,,,,wazuh-monitord,20
2025-12-16T22:23:03.234+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T22:23:29.694+0000,19010,3,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure all AppArmor Profiles are in enforce or complain mode.: Status changed from failed to passed,sca,Ubuntu,,,,sca,20
2025-12-16T22:23:39.376+0000,19004,7,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (45),sca,Ubuntu,,,,sca,20
2025-12-16T22:24:11.451+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T22:28:45.451+0000,533,7,Listened ports status (netstat) changed (new port opened or closed).,ossec,Ubuntu,,,,netstat listening ports,20
2025-12-16T22:32:15.502+0000,86601,3,Suricata: Alert - SURICATA Ethertype unknown,"ids,suricata",Ubuntu,,,,/var/log/suricata/eve.json,20
2025-12-16T22:45:46.405+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:45:54.413+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:46:00.418+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:46:06.434+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:46:46.194+0000,533,7,Listened ports status (netstat) changed (new port opened or closed).,ossec,Ubuntu,,,,netstat listening ports,20
2025-12-16T22:48:00.192+0000,86601,3,Suricata: Alert - SURICATA Ethertype unknown,"ids,suricata",Ubuntu,,,,/var/log/suricata/eve.json,20
2025-12-16T22:49:56.627+0000,5402,3,Successful sudo to ROOT executed.,"syslog,sudo",Ubuntu,,,,journald,20
2025-12-16T22:49:56.627+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T22:50:18.653+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:50:24.655+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:50:28.657+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:50:34.658+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:50:38.659+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:50:44.659+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:50:50.661+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:50:54.668+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:00.669+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:04.670+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:10.672+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:14.673+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:20.675+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:24.679+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:30.682+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:36.684+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:40.687+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:46.690+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:51:50.694+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:52:02.698+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:52:46.441+0000,533,7,Listened ports status (netstat) changed (new port opened or closed).,ossec,Ubuntu,,,,netstat listening ports,20
2025-12-16T22:55:02.787+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:55:06.794+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:55:30.803+0000,5502,3,PAM: Login session closed.,"pam,syslog",Ubuntu,,,,journald,20
2025-12-16T22:55:32.803+0000,5402,3,Successful sudo to ROOT executed.,"syslog,sudo",Ubuntu,,,,journald,20
2025-12-16T22:55:32.803+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T22:55:42.809+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:55:48.813+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:55:52.816+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:55:58.817+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:04.822+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:08.826+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:14.830+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:18.829+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:24.832+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:28.832+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:34.836+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:38.837+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:44.839+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:48.841+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:54.844+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:56:58.850+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:58:46.697+0000,533,7,Listened ports status (netstat) changed (new port opened or closed).,ossec,Ubuntu,,,,netstat listening ports,20
2025-12-16T22:59:30.941+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:59:36.944+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T22:59:40.946+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:00:02.958+0000,86601,3,Suricata: Alert - ET SCAN Suspicious inbound to mySQL port 3306,"ids,suricata",Ubuntu,192.168.20.10,,,/var/log/suricata/eve.json,20
2025-12-16T23:00:02.958+0000,86601,3,Suricata: Alert - ET SCAN Potential VNC Scan 5800-5820,"ids,suricata",Ubuntu,192.168.20.10,,,/var/log/suricata/eve.json,20
2025-12-16T23:00:02.958+0000,86601,3,Suricata: Alert - ET SCAN Suspicious inbound to MSSQL port 1433,"ids,suricata",Ubuntu,192.168.20.10,,,/var/log/suricata/eve.json,20
2025-12-16T23:00:04.715+0000,86601,3,Suricata: Alert - ET SCAN Suspicious inbound to PostgreSQL port 5432,"ids,suricata",Ubuntu,192.168.20.10,,,/var/log/suricata/eve.json,20
2025-12-16T23:00:04.716+0000,86601,3,Suricata: Alert - ET SCAN Suspicious inbound to Oracle SQL port 1521,"ids,suricata",Ubuntu,192.168.20.10,,,/var/log/suricata/eve.json,20
2025-12-16T23:00:18.967+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:00:24.978+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:00:28.979+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:00:34.982+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:00:40.984+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:00:44.985+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:00:50.992+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:00:54.993+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:01:23.034+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:01:29.036+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:01:33.038+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:01:39.040+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:01:45.044+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T23:01:45.044+0000,5715,3,sshd: authentication success.,"syslog,sshd,authentication_success",Ubuntu,192.168.20.10,,,journald,20
2025-12-16T23:02:07.053+0000,5502,3,PAM: Login session closed.,"pam,syslog",Ubuntu,,,,journald,20
2025-12-16T23:02:19.066+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:02:23.069+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:02:29.076+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:02:33.077+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:02:39.084+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:02:49.091+0000,5503,5,PAM: User login failed.,"pam,syslog,authentication_failed",Ubuntu,192.168.20.10,,,journald,20
2025-12-16T23:02:51.092+0000,5760,5,sshd: authentication failed.,"syslog,sshd,authentication_failed",Ubuntu,192.168.20.10,,,journald,20
2025-12-16T23:03:27.104+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:03:31.105+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:03:37.115+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:03:44.803+0000,86601,3,Suricata: Alert - SURICATA Ethertype unknown,"ids,suricata",Ubuntu,,,,/var/log/suricata/eve.json,20
2025-12-16T23:04:43.142+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:04:47.143+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:04:53.144+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:04:59.146+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:03.147+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:09.148+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:13.157+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:19.160+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:23.161+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:29.167+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:33.169+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:39.175+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:43.184+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:49.200+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:53.273+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:05:59.238+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:03.240+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:15.271+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:19.272+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:25.274+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:29.342+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:35.353+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:39.358+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:45.408+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:49.409+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:55.431+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:06:59.428+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:07:05.435+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:07:09.443+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:07:15.443+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:07:19.446+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:07:25.448+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:07:29.450+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:07:45.459+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:07:51.462+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:07:55.463+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:08:01.485+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:08:05.474+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:08:11.476+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:08:21.500+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:08:27.503+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:08:31.509+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:08:37.511+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:08:41.512+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:08:55.519+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:09:01.527+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:19:49.781+0000,86601,3,Suricata: Alert - SURICATA Ethertype unknown,"ids,suricata",Ubuntu,,,,/var/log/suricata/eve.json,20
2025-12-16T23:24:10.867+0000,533,7,Listened ports status (netstat) changed (new port opened or closed).,ossec,Ubuntu,,,,netstat listening ports,20
2025-12-16T23:24:14.285+0000,502,3,Wazuh server started.,ossec,Ubuntu,,,,wazuh-monitord,20
2025-12-16T23:27:37.753+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T23:30:11.476+0000,533,7,Listened ports status (netstat) changed (new port opened or closed).,ossec,Ubuntu,,,,netstat listening ports,20
2025-12-16T23:35:14.076+0000,86601,3,Suricata: Alert - SURICATA Ethertype unknown,"ids,suricata",Ubuntu,,,,/var/log/suricata/eve.json,20
2025-12-16T23:40:23.037+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:40:31.060+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:40:41.127+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:40:47.135+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:40:51.153+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:40:59.038+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:03.052+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:09.058+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:15.065+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:19.995+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:26.010+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:33.021+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:37.023+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:41.037+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:47.040+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:51.041+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:41:57.046+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:01.047+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:07.058+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:11.352+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:18.050+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:24.051+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:30.060+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:34.064+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:38.112+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:45.033+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:49.393+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:42:56.491+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:01.037+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:05.042+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:11.044+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:15.047+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:21.053+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:25.053+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:31.059+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:35.060+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:35.061+0000,5502,3,PAM: Login session closed.,"pam,syslog",Ubuntu,,,,journald,20
2025-12-16T23:43:35.061+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T23:43:35.060+0000,5402,3,Successful sudo to ROOT executed.,"syslog,sudo",Ubuntu,,,,journald,20
2025-12-16T23:43:41.068+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:45.069+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:51.072+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:43:53.073+0000,5402,3,Successful sudo to ROOT executed.,"syslog,sudo",Ubuntu,,,,journald,20
2025-12-16T23:43:53.073+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T23:43:53.073+0000,5502,3,PAM: Login session closed.,"pam,syslog",Ubuntu,,,,journald,20
2025-12-16T23:43:55.073+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:01.078+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:05.079+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:11.082+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:15.083+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:21.086+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:25.118+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:31.120+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:35.121+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:41.130+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:41.130+0000,5402,3,Successful sudo to ROOT executed.,"syslog,sudo",Ubuntu,,,,journald,20
2025-12-16T23:44:41.130+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T23:44:41.130+0000,2834,5,Crontab opened for editing.,"syslog,cron",Ubuntu,,,,journald,60
2025-12-16T23:44:45.134+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:51.141+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:44:55.145+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T23:45:01.152+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
